Inf	31.09996	1080.00150	1900.44604	394.64597	6.80611	971.84540	817.80347	6.80645	1324.39856	1203.56848	6.80802
Inf	31.09996	1080.00150	1900.62207	394.90942	6.82071	971.90326	818.13214	6.81535	1324.53406	1203.60107	6.81756
Inf	31.09996	1080.00150	1900.80200	394.89957	6.82437	972.39600	818.04913	6.80799	1324.40808	1203.48950	6.81615
Inf	31.09996	1080.00150	1900.79419	394.95764	6.83711	972.04749	817.93079	6.80194	1324.30457	1203.68481	6.80474
Inf	31.09996	1080.00150	1900.82056	394.75842	6.82809	971.84399	817.26672	6.80145	1324.53003	1203.94238	6.80508
Inf	31.09996	1080.00150	1900.79102	394.83429	6.83334	972.05310	817.09381	6.79463	1324.54773	1203.72241	6.80713
Inf	31.09996	1080.00150	1900.65784	394.89456	6.82048	972.31104	817.34161	6.79330	1323.86877	1203.76953	6.81542
Inf	31.09996	1080.00150	1900.40442	395.03204	6.83839	972.28625	817.60205	6.79373	1323.77612	1203.79602	6.81451
Inf	31.09996	1080.00150	1900.69690	395.01770	6.81898	971.78992	817.34119	6.79490	1324.01563	1204.10547	6.81216
Inf	31.09996	1080.00150	1900.81482	394.75610	6.81998	971.81647	817.12830	6.79846	1323.79053	1203.96021	6.80905
Inf	31.09996	1080.00150	1901.03296	394.95935	6.82223	971.65656	817.28711	6.79560	1323.61035	1204.16870	6.80981
Inf	31.09996	1080.00150	1901.08545	395.04889	6.82090	972.15320	817.46271	6.79817	1323.83032	1203.99146	6.80909
Inf	31.09996	1080.00150	1900.81799	394.85983	6.82549	971.82715	817.07172	6.80226	1323.83533	1204.02258	6.81729
Inf	31.09996	1080.00150	1900.88940	395.06696	6.80769	972.29272	817.11261	6.80596	1323.82068	1203.95715	6.81608
Inf	31.09996	1080.00150	1900.30725	394.96829	6.79997	972.14166	817.45374	6.80807	1323.78870	1203.92554	6.81924
Inf	31.09996	1080.00150	1900.19434	394.47925	6.79384	972.50793	817.68793	6.80794	1324.36646	1203.31494	6.81826
Inf	31.09996	1080.00150	1900.53394	394.90604	6.81793	971.68835	817.57080	6.80147	1324.26794	1203.09521	6.80211
