Inf	0.74999	-0.00400	1135.22852	1286.02087	3.95536	1326.98206	983.16547	3.00034	691.29645	1206.68335	2.95513	464.33264	1050.75024	2.48121	834.90033	603.12756	3.10636	493.81314	1294.88208	3.74691	1263.87366	371.96436	2.60429
Inf	0.74999	-0.00400	1135.22900	1286.02026	3.95618	1327.42676	983.38593	2.97852	690.80780	1205.96582	2.90342	464.68680	1050.22791	2.46581	834.38342	603.13391	3.10737	493.91278	1294.44434	3.75244	1263.58228	371.47290	2.60230
Inf	0.74999	-0.00400	1135.23340	1286.02747	3.95518	1327.41101	983.44983	2.97670	691.08722	1206.62415	2.89666	465.18695	1050.67273	2.50317	834.51318	603.44873	3.11291	493.84930	1294.15088	3.76593	1263.61365	370.83618	2.64145
Inf	0.74999	-0.00400	1135.23682	1286.02332	3.95691	1328.05969	983.60681	2.98110	691.65271	1206.56616	2.89230	466.56433	1050.60620	2.48194	835.04449	603.58679	3.09908	493.14597	1293.83130	3.75312	1263.10510	370.99951	2.59536
Inf	0.74999	-0.00400	1135.21997	1286.03723	3.95787	1328.05652	983.33911	2.97895	691.11627	1206.31934	2.88573	466.77563	1050.50464	2.51237	835.10669	603.72974	3.12159	492.87854	1293.56909	3.74004	1263.05396	371.38184	2.60238
Inf	0.74999	-0.00400	1135.23108	1286.02319	3.95734	1328.24243	983.11755	2.99764	691.25153	1206.28003	2.89211	466.63382	1049.63391	2.54797	835.50574	603.20068	3.11629	492.72229	1294.13330	3.76268	1262.73181	371.32764	2.59295
Inf	0.74999	-0.00400	1135.23486	1286.00977	3.95750	1327.85950	982.98340	2.97485	690.72839	1206.29871	2.88286	466.78607	1049.32922	2.53747	836.27612	602.99670	3.14272	492.87378	1294.20776	3.77196	1262.15076	372.15820	2.59345
Inf	0.74999	-0.00400	1135.22791	1286.01440	3.95606	1327.26099	982.71112	2.97486	690.78912	1206.34705	2.90916	466.02325	1049.30701	2.49151	836.23486	601.94812	3.11093	492.98795	1294.32544	3.77044	1261.82153	372.04517	2.61652
Inf	0.74999	-0.00400	1135.23096	1286.01013	3.95507	1326.86194	982.48669	2.96613	690.83667	1206.99121	2.90663	466.45871	1049.39978	2.46715	835.89795	601.81079	3.12380	492.99197	1294.61597	3.75826	1261.90894	372.21460	2.63507
Inf	0.74999	-0.00400	1135.22864	1286.01672	3.95419	1327.08960	982.16071	2.97632	690.63397	1206.94604	2.93453	466.06116	1048.54590	2.49617	835.75574	601.65649	3.13263	493.12347	1295.08667	3.77534	1261.90784	371.52710	2.61125
Inf	0.74999	-0.00400	1135.23340	1286.00928	3.95490	1327.39355	982.73199	2.97863	690.55573	1206.13550	2.92886	466.55560	1048.77722	2.48453	835.68311	601.59143	3.09677	492.59735	1294.82910	3.77671	1261.18774	371.31519	2.57946
Inf	0.74999	-0.00400	1135.23816	1286.00024	3.95495	1326.99683	982.16937	2.99098	690.63196	1206.14014	2.94453	466.06015	1049.43774	2.48826	835.60712	601.98730	3.11942	492.93207	1295.10693	3.75448	1261.15430	371.75684	2.59650
Inf	0.74999	-0.00400	1135.24292	1286.01575	3.95625	1326.71240	982.10229	2.98518	690.41803	1206.61377	2.95150	467.03741	1048.65967	2.45113	834.62964	601.00671	3.12880	492.68237	1294.69775	3.76511	1261.94409	371.46875	2.58335
Inf	0.74999	-0.00400	1135.24023	1286.00806	3.95535	1326.73267	982.30090	2.97146	690.03442	1207.23828	2.96745	466.43185	1048.15356	2.47734	834.19702	601.25342	3.06536	492.25342	1294.99536	3.76913	1262.65869	371.96655	2.56334
Inf	0.74999	-0.00400	1135.24438	1286.01392	3.95542	1327.11670	981.89117	2.98242	690.45984	1207.10742	2.95225	465.97577	1049.90405	2.46267	834.30774	601.78711	3.07515	491.34027	1294.41333	3.75687	1262.82227	372.22363	2.54056
Inf	0.74999	-0.00400	1135.24048	1286.00696	3.95679	1326.78528	981.28882	2.97344	689.66772	1206.90613	2.97374	466.50647	1050.81714	2.46614	834.51477	602.51721	3.07522	491.44513	1294.33740	3.76824	1262.92505	372.11523	2.56540
Inf	0.74999	-0.00400	1135.26221	1286.01172	3.95669	1326.94470	981.38702	2.98442	689.73425	1206.78333	2.96102	465.88971	1051.91760	2.44952	834.41138	602.57959	3.08118	492.07419	1293.55371	3.77761	1262.46484	372.13916	2.57651
Inf	0.74999	-0.00400	1135.25476	1286.02173	3.95559	1327.09668	981.09027	2.97547	689.85205	1207.28320	2.97295	465.60046	1052.63330	2.45591	833.97729	602.52649	3.08226	492.38666	1293.29492	3.74402	1262.46472	372.23926	2.57420
Inf	0.74999	-0.00400	1135.25806	1286.02014	3.95588	1327.37439	980.75671	2.99262	689.67926	1207.29553	2.97338	465.95465	1052.69397	2.42781	834.49927	603.35718	3.06659	491.98126	1293.64160	3.73214	1262.56433	372.47754	2.59555
Inf	0.74999	-0.00400	1135.24548	1286.01587	3.95659	1326.82715	980.88940	2.98309	689.31018	1206.96118	2.97494	465.81946	1052.59924	2.38387	834.25354	604.10620	3.07084	491.59659	1293.84033	3.73910	1263.02332	372.99829	2.60156
Inf	0.74999	-0.00400	1135.25659	1286.03748	3.95752	1326.23254	980.47961	3.00202	688.98151	1206.31250	2.95447	467.51154	1053.09277	2.39146	834.85413	604.29053	3.08366	491.12930	1293.80811	3.75315	1262.74255	373.55933	2.62007
Inf	0.74999	-0.00400	1135.23840	1286.01501	3.95598	1326.51904	981.03894	3.01748	689.56116	1206.45728	2.95623	467.31314	1052.80872	2.35332	834.77667	603.83398	3.09060	491.22424	1293.78857	3.75000	1262.34375	373.18799	2.64686
