Inf	21.69999	36000.00200	1650.94116	293.97827	5.80396	616.33362	756.96558	5.80728	1481.95459	814.71442	5.62377	607.77124	1408.72473	5.81495	316.52228	357.51941	5.80996	1077.07471	799.18250	5.80680
Inf	21.69999	36000.00200	1650.94946	293.99225	5.80303	616.33484	756.97858	5.80626	1481.82642	814.99939	5.63530	607.81055	1409.05457	5.81641	317.32056	358.04089	5.80607	1076.99402	799.35449	5.80379
Inf	21.69999	36000.00200	1650.96191	293.99219	5.80660	616.34192	756.98651	5.80555	1481.93848	815.75006	5.64406	607.05505	1408.34033	5.81478	316.70065	358.13904	5.83432	1077.01477	799.86426	5.82128
Inf	21.69999	36000.00200	1650.95068	293.98557	5.80319	616.34235	756.98157	5.80534	1481.93884	815.74188	5.65904	606.78625	1407.83386	5.82262	316.65707	357.97742	5.82558	1076.70020	800.00244	5.82020
Inf	21.69999	36000.00200	1650.94495	293.98648	5.80432	616.34277	756.97900	5.80720	1481.52319	816.00543	5.66190	607.18909	1407.32898	5.83112	316.52533	358.47375	5.84418	1077.06750	800.07117	5.80595
Inf	21.69999	36000.00200	1650.95142	293.98065	5.80192	616.33423	756.98779	5.80628	1481.54248	815.96259	5.66087	607.40002	1407.16846	5.80665	316.39474	358.14063	5.82434	1077.48022	800.06335	5.80850
Inf	21.69999	36000.00200	1650.92261	293.97696	5.80329	616.33765	756.96021	5.80645	1481.89819	815.99658	5.66836	607.53619	1407.22620	5.80869	316.31790	358.79138	5.83906	1077.31201	800.05139	5.80421
Inf	21.69999	36000.00200	1650.93726	293.95044	5.80268	616.33514	756.95355	5.80671	1481.67444	815.93182	5.66217	607.25415	1406.46387	5.80681	316.37253	358.47620	5.84275	1076.75012	799.33411	5.80675
Inf	21.69999	36000.00200	1650.92981	293.95139	5.80102	616.32751	756.94556	5.80670	1481.28857	815.70972	5.64172	607.21741	1406.95642	5.79737	316.29599	357.59509	5.83337	1076.77246	799.58252	5.81197
Inf	21.69999	36000.00200	1650.92004	293.95108	5.80185	616.32617	756.95880	5.80492	1481.28430	815.86261	5.65452	606.98914	1407.18066	5.81663	316.55768	358.75061	5.83817	1076.62939	799.23328	5.81687
Inf	21.69999	36000.00200	1650.91943	293.95291	5.80308	616.33228	756.93945	5.80539	1481.91809	815.10370	5.62900	607.08472	1407.30383	5.81872	316.60822	358.21106	5.83925	1076.60583	799.07690	5.81108
Inf	21.69999	36000.00200	1650.92053	293.96442	5.80194	616.33527	756.95789	5.80470	1481.17786	814.82788	5.63053	607.03979	1407.21021	5.82286	316.36975	358.40515	5.82892	1076.50708	798.66821	5.82510
Inf	21.69999	36000.00200	1650.94067	293.98071	5.80210	616.33521	756.97900	5.80477	1481.07813	814.53931	5.61352	607.15833	1407.55664	5.81913	316.89844	357.99121	5.82845	1076.29944	798.37439	5.82651
Inf	21.69999	36000.00200	1650.93579	293.96716	5.80413	616.33075	756.98132	5.80504	1481.52539	814.00281	5.59217	607.02130	1407.36157	5.81949	317.12521	358.45239	5.81290	1076.31335	798.04724	5.82471
Inf	21.69999	36000.00200	1650.94006	294.00891	5.80267	616.33429	756.99823	5.80673	1481.31421	813.78760	5.58332	606.45410	1407.35291	5.81766	316.49194	358.71399	5.82440	1076.25708	798.06995	5.81244
Inf	21.69999	36000.00200	1650.93860	294.01688	5.80177	616.33691	757.00854	5.80649	1481.34802	814.24078	5.60320	606.29388	1407.36755	5.80103	316.11945	358.38818	5.82227	1076.53101	797.43286	5.83163
Inf	21.69999	36000.00200	1650.93896	293.99243	5.80461	616.32532	756.98230	5.80772	1481.51367	814.45984	5.61723	606.50537	1408.73853	5.82045	316.15173	358.95056	5.83765	1076.67871	798.12122	5.83447
Inf	21.69999	36000.00200	1650.91968	294.00189	5.80597	616.33246	756.98273	5.80618	1481.85657	814.39246	5.61062	607.06897	1409.27417	5.81001	316.34967	359.01025	5.83481	1076.26416	798.35779	5.83242
Inf	21.69999	36000.00200	1650.94446	293.98743	5.80335	616.32336	756.96948	5.80770	1481.38123	814.50934	5.60807	606.97308	1409.25098	5.81361	316.41370	358.67847	5.83228	1076.25818	798.13525	5.84008
Inf	21.69999	36000.00200	1650.93933	293.96097	5.80381	616.31946	756.96490	5.80579	1481.56555	814.51361	5.61225	607.65002	1409.13416	5.81168	316.70258	358.87671	5.83941	1076.82300	798.29675	5.81927
Inf	21.69999	36000.00200	1650.93237	293.96436	5.80436	616.31964	756.93457	5.80689	1481.34839	814.80225	5.64370	607.70337	1408.72314	5.78635	316.56461	359.12366	5.84099	1076.97705	798.66284	5.80794
Inf	21.69999	36000.00200	1650.91467	293.94800	5.80435	616.31372	756.96014	5.80622	1481.41907	814.95270	5.61792	607.69629	1408.70654	5.82221	316.13992	358.23169	5.83545	1077.06421	798.48877	5.81267
Inf	21.69999	36000.00200	1650.92249	293.94681	5.80188	616.31519	756.93567	5.80504	1481.60901	815.00745	5.63053	607.62616	1407.65100	5.79940	315.85291	357.65149	5.81851	1077.09717	798.52039	5.81907
Inf	21.69999	36000.00200	1650.93701	293.95779	5.80282	616.32373	756.94641	5.80537	1482.21106	814.25842	5.61020	607.41553	1407.04517	5.82265	316.00482	357.71436	5.81479	1077.12720	798.58020	5.80770
Inf	21.69999	36000.00200	1650.94800	293.97437	5.80481	616.32306	756.97070	5.80649	1482.32629	813.60815	5.57503	607.38263	1407.02808	5.81633	316.76691	357.64990	5.82220	1077.92651	799.64343	5.79660
Inf	21.69999	36000.00200	1650.94580	293.97864	5.80327	616.33685	756.98499	5.80566	1481.97314	813.56458	5.57118	607.05579	1408.05737	5.81560	316.38977	357.53247	5.81626	1077.46802	798.89966	5.79201
