Inf	0.00000	-0.00050	1488.68457	794.41748	4.36628	1604.23328	477.03708	4.36096	846.85266	237.61029	4.35861	947.13556	560.88135	4.69497	1151.64514	346.21106	4.39355	1947.72998	514.48328	4.44896	423.82745	455.33618	3.82170	1991.36462	353.53711	4.36360	1028.02966	1227.47290	4.36490	321.45401	1148.42114	4.27982
Inf	0.00000	-0.00050	1488.96704	794.28711	4.36519	1604.31177	477.13599	4.36205	846.96558	237.69342	4.35747	947.68640	561.93359	4.50345	1152.39832	346.53052	4.40037	1947.18689	514.53540	4.44915	423.77740	455.95251	3.85319	1991.52637	353.58228	4.36260	1028.15881	1227.28882	4.36531	321.92908	1148.21069	4.39148
Inf	0.00000	-0.00050	1488.87000	794.25940	4.36763	1604.45972	477.09598	4.36451	847.18848	237.86768	4.35828	948.03101	562.52319	4.44953	1153.16968	346.85596	4.19915	1946.85693	514.30981	4.47770	423.36951	455.85229	3.88538	1991.34241	353.46655	4.36410	1028.15369	1227.41553	4.36323	322.13074	1147.88940	4.47878
Inf	0.00000	-0.00050	1488.57373	794.27649	4.36547	1604.29858	477.06940	4.36360	847.32361	238.21533	4.36014	948.35907	561.65991	4.36709	1152.36450	346.76343	4.19976	1948.25928	512.89795	4.49197	423.63135	455.48499	3.88621	1991.27881	353.43115	4.36501	1028.22852	1227.35962	4.36448	321.00763	1149.08521	4.26768
Inf	0.00000	-0.00050	1489.12109	794.28876	4.36779	1604.14209	477.06671	4.36643	847.30444	238.26367	4.35970	946.95374	560.69189	4.39594	1153.67859	346.11572	4.19286	1948.08337	512.40820	4.55761	424.20541	455.93311	4.44854	1991.29907	353.56030	4.36211	1027.63965	1227.16846	4.37646	321.30988	1149.26099	4.17577
Inf	0.00000	-0.00050	1489.05066	794.28998	4.37018	1604.21948	477.04422	4.36602	847.22498	238.22632	4.35831	946.07385	561.97034	4.49453	1153.43420	346.56458	4.19675	1946.98291	513.36646	4.56468	423.40515	456.83398	4.43147	1991.19617	353.38867	4.36649	1027.79028	1226.96582	4.37657	321.13776	1150.53760	4.17206
Inf	0.00000	-0.00050	1488.76526	794.36597	4.36933	1604.30859	477.02856	4.36833	847.32312	237.87744	4.36038	945.80420	562.31287	4.50618	1153.18762	347.19348	4.20170	1946.43884	512.90271	4.53250	423.20837	456.72119	4.43440	1991.26184	353.47583	4.36189	1027.97327	1226.93066	4.37603	321.09808	1152.05859	4.10787
Inf	0.00000	-0.00050	1488.43872	794.29523	4.37410	1604.20190	477.11890	4.36548	847.39935	238.23621	4.36133	945.53162	563.80713	4.47409	1154.15796	346.95801	4.18653	1946.84180	514.43298	4.52841	422.65988	456.92358	4.43000	1991.36841	353.58447	4.36135	1027.79077	1226.76733	4.38146	320.81534	1152.44629	3.63863
Inf	0.00000	-0.00050	1488.22388	794.31940	4.36774	1604.16821	476.96674	4.36497	847.20337	238.25281	4.36155	945.48810	564.27991	4.53103	1154.27625	346.84412	4.18326	1947.95471	514.44580	4.50117	422.98090	457.37842	4.43388	1991.27686	353.50879	4.36335	1028.04358	1227.27002	4.36770	321.29907	1151.93970	3.96632
Inf	0.00000	-0.00050	1488.51538	794.39209	4.36520	1604.15430	477.02158	4.36480	847.22852	237.95947	4.36155	945.69617	563.94019	4.69307	1154.41492	346.58191	4.18028	1948.16455	514.32373	4.47836	422.50253	457.93408	4.44458	1991.35522	353.53271	4.36264	1027.92798	1227.16016	4.37233	321.39240	1152.41138	3.78978
